question_id,question_type,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,reference_url,chatgpt_verified,terminology_status,terminology_notes,exam_section,exam_objectives,topics,difficulty,question_source,review_status,is_outdated
PMLE-0011,single_choice,"You are designing an ML recommendation model for shoppers on your company's ecommerce website. You will use Recommendations AI to build,
 test, and deploy your system. How should you develop recommendations that increase revenue while following best practices?",Use the ‫ג‬€Other Products You May Like‫ג‬€ recommendation type to increase the click-through rate.,Use the ‫ג‬€Frequently Bought Together‫ג‬€ recommendation type to increase the shopping cart size for each order.,Import your user events and then your product catalog to make sure you have the highest quality event stream.,"Because it will take time to collect and record product data, use placeholder values for the product catalog to test the viability of the model.",,B,"Verified: B. The Frequently Bought Together model is specifically intended for shopping-cart expansion by recommending products commonly purchased together. Importing user events before the catalog is not the recommended setup order, and placeholder catalog data would reduce recommendation quality.",https://docs.cloud.google.com/retail/docs/models,TRUE,,,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability",Recommendation Systems; Classification,Easy,Original Bank,Verified,TRUE
PMLE-0012,single_choice,"You are designing an architecture with a serverless ML system to enrich customer support tickets with informative metadata before they are
 routed to a support agent. You need a set of models to predict ticket priority, predict ticket resolution time, and perform sentiment analysis to help
 agents make strategic decisions when they process support requests. Tickets are not expected to have any domain-specific terms or jargon.
 The proposed architecture has the following flow:
 Which endpoints should the Enrichment Cloud Functions call?","1 = AI Platform, 2 = AI Platform, 3 = AutoML Vision","1 = AI Platform, 2 = AI Platform, 3 = AutoML Natural Language","1 = AI Platform, 2 = AI Platform, 3 = Cloud Natural Language API","1 = Cloud Natural Language API, 2 = AI Platform, 3 = Cloud Vision API",,C,"Verified: C. Use custom hosted model endpoints for ticket priority and resolution-time predictions, and use the pre-trained Cloud Natural Language API for sentiment analysis because the tickets do not contain domain-specific jargon that would require a custom language model. The legacy AI Platform endpoints are now represented by Agent Platform endpoints.",https://docs.cloud.google.com/natural-language/docs,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability; Building AI solutions using Google Cloud AI APIs or foundational models",AutoML; Agents; Cloud Run; Online Inference,Medium,Original Bank,Updated 2026,FALSE
PMLE-0013,single_choice,"You have trained a deep neural network model on Google Cloud. The model has low loss on the training data, but is performing worse on the
 validation data. You want the model to be resilient to overfitting. Which strategy should you use when retraining the model?","Apply a dropout parameter of 0.2, and decrease the learning rate by a factor of 10.","Apply a L2 regularization parameter of 0.4, and decrease the learning rate by a factor of 10.",Run a hyperparameter tuning job on AI Platform to optimize for the L2 regularization and dropout parameters.,"Run a hyperparameter tuning job on AI Platform to optimize for the learning rate, and increase the number of neurons by a factor of 2.",,C,"Verified: C. The gap between low training loss and worse validation performance indicates overfitting. Both dropout and L2 regularization are appropriate controls, but their optimal strengths are data- and model-dependent. A hyperparameter tuning job over both is therefore better than choosing arbitrary fixed values or increasing model capacity.",https://www.tensorflow.org/tutorials/keras/overfit_and_underfit,TRUE,,,Scaling prototypes into ML models,Training models,Model Optimization; Hyperparameter Tuning; Custom Training,Easy,Original Bank,Verified,FALSE
PMLE-0014,single_choice,"You built and manage a production system that is responsible for predicting sales numbers. Model accuracy is crucial, because the production
 model is required to keep up with market changes. Since being deployed to production, the model hasn't changed; however the accuracy of the
 model has steadily deteriorated.
 What issue is most likely causing the steady decline in model accuracy?",Poor data quality,Lack of model retraining,Too few layers in the model for capturing information,"Incorrect data split ratio during model training, evaluation, validation, and test",,B,"Verified: B. A production model that remains unchanged while market behavior evolves becomes stale. Changes in the serving-data distribution can steadily degrade accuracy, so monitoring and retraining with newer representative data are required.",https://docs.cloud.google.com/architecture/guidelines-for-developing-high-quality-ml-solutions,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Model Monitoring; Pipelines; Evaluation Metrics,Easy,Original Bank,Verified,FALSE
PMLE-0015,single_choice,"You have been asked to develop an input pipeline for an ML training model that processes images from disparate sources at a low latency. You
 discover that your input data does not fit in memory. How should you create a dataset following Google-recommended best practices?",Create a tf.data.Dataset.prefetch transformation.,"Convert the images to tf.Tensor objects, and then run Dataset.from_tensor_slices().","Convert the images to tf.Tensor objects, and then run tf.data.Dataset.from_tensors().","Convert the images into TFRecords, store the images in Cloud Storage, and then use the tf.data API to read the images for training.",,D,"Verified: D. The tf.data API streams file-backed datasets so the full dataset does not need to fit in memory. TFRecord is a standard efficient record format for large TensorFlow training datasets, and storing sharded TFRecords in Cloud Storage supports scalable input pipelines. Prefetch is also recommended for performance, but by itself it does not define a suitable out-of-memory dataset source.",https://www.tensorflow.org/guide/data,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Data Preparation; Pipelines; Cloud Storage; Custom Training,Medium,Original Bank,Verified,FALSE
PMLE-0016,single_choice,"You are an ML engineer at a large grocery retailer with stores in multiple regions. You have been asked to create an inventory prediction model.
 Your model's features include region, location, historical demand, and seasonal popularity. You want the algorithm to learn from new inventory
 data on a daily basis. Which algorithms should you use to build the model?",Classification,Reinforcement Learning,Recurrent Neural Networks (RNN),Convolutional Neural Networks (CNN),,C,"Verified with scope note: C is the best available option because inventory demand is a time-series/sequence forecasting problem, and RNNs are designed to model sequential dependencies. In current Google Cloud practice, managed forecasting or other time-series architectures may be preferable, but among the listed algorithm families RNN is the strongest fit.",https://www.tensorflow.org/guide/keras/working_with_rnns,TRUE,,,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability",Time Series; Forecasting; Classification,Medium,Original Bank,Verified,FALSE
PMLE-0017,single_choice,"You are building a real-time prediction engine that streams files which may contain Personally Identifiable Information (PII) to Google Cloud. You
 want to use the
 Cloud Data Loss Prevention (DLP) API to scan the files. How should you ensure that the PII is not accessible by unauthorized individuals?","Stream all files to Google Cloud, and then write the data to BigQuery. Periodically conduct a bulk scan of the table using the DLP API.","Stream all files to Google Cloud, and write batches of the data to BigQuery. While the data is being written to BigQuery, conduct a bulk scan
 of the data using the DLP API.","Create two buckets of data: Sensitive and Non-sensitive. Write all data to the Non-sensitive bucket. Periodically conduct a bulk scan of that
 bucket using the DLP API, and move the sensitive data to the Sensitive bucket.","Create three buckets of data: Quarantine, Sensitive, and Non-sensitive. Write all data to the Quarantine bucket. Periodically conduct a bulk
 scan of that bucket using the DLP API, and move the data to either the Sensitive or Non-Sensitive bucket.",,D,Verified: D. Incoming files should first land in a restricted quarantine bucket so unclassified PII is never exposed through a general-access destination. Sensitive Data Protection can inspect each file and then route it to a sensitive or non-sensitive bucket according to the result.,https://docs.cloud.google.com/sensitive-data-protection/docs/automating-classification-of-data-uploaded-to-cloud-storage,TRUE,,,Monitoring AI solutions,Identifying risks to AI solutions; Exploring and preprocessing data for ML,Data Privacy; BigQuery; Responsible AI,Medium,Original Bank,Verified,FALSE
PMLE-0018,single_choice,"You work for a large hotel chain and have been asked to assist the marketing team in gathering predictions for a targeted marketing strategy. You
 need to make predictions about user lifetime value (LTV) over the next 20 days so that marketing can be adjusted accordingly. The customer
 dataset is in BigQuery, and you are preparing the tabular data for training with AutoML Tables. This data has a time signal that is spread across
 multiple columns. How should you ensure that
 AutoML fits the best model to your data?","Manually combine all columns that contain a time signal into an array. AIlow AutoML to interpret this array appropriately. Choose an
 automatic data split across the training, validation, and testing sets.","Submit the data for training without performing any manual transformations. AIlow AutoML to handle the appropriate transformations.
 Choose an automatic data split across the training, validation, and testing sets.","Submit the data for training without performing any manual transformations, and indicate an appropriate column as the Time column. AIlow
 AutoML to split your data based on the time signal provided, and reserve the more recent data for the validation and testing sets.","Submit the data for training without performing any manual transformations. Use the columns that have a time signal to manually split your
 data. Ensure that the data in your validation set is from 30 days after the data in your training set and that the data in your testing sets from 30
 days after your validation set.",,D,"Verified: D. Because the time signal is spread across multiple columns rather than a single usable timestamp column, Google guidance recommends a manual chronological split, with earlier observations used for training and the most recent observations reserved for validation and testing. The exact 30-day spacing in the option is scenario-specific, but D is the only choice that preserves temporal ordering without inventing a combined array feature.",https://docs.cloud.google.com/gemini-enterprise-agent-platform/machine-learning/tabular-data/bp-tabular,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Time Series; Data Preparation; Feature Engineering; AutoML,Medium,Original Bank,Verified,FALSE
PMLE-0019,single_choice,"You have written unit tests for a Kubeflow Pipeline that require custom libraries. You want to automate the execution of unit tests with each new
 push to your development branch in Cloud Source Repositories. What should you do?",Write a script that sequentially performs the push to your development branch and executes the unit tests on Cloud Run.,"Using Cloud Build, set an automated trigger to execute the unit tests when changes are pushed to your development branch.","Set up a Cloud Logging sink to a Pub/Sub topic that captures interactions with Cloud Source Repositories. Configure a Pub/Sub trigger for
 Cloud Run, and execute the unit tests on Cloud Run.","Set up a Cloud Logging sink to a Pub/Sub topic that captures interactions with Cloud Source Repositories. Execute the unit tests using a
 Cloud Function that is triggered when messages are sent to the Pub/Sub topic.",,B,"Verified: B. A Cloud Build repository trigger can run automatically whenever code is pushed to a specified branch, and the build configuration can execute unit tests and install any required libraries. The alternatives add manual steps or unnecessary logging and Pub/Sub infrastructure.",https://docs.cloud.google.com/kubernetes-engine/docs/tutorials/gitops-cloud-build,TRUE,,,Automating and orchestrating ML pipelines,Automating model retraining; Developing end-to-end ML pipelines,CI/CD; Pipelines; Cloud Run; Kubeflow,Easy,Original Bank,Verified,FALSE
PMLE-0020,single_choice,"You are training an LSTM-based model on AI Platform to summarize text using the following job submission script: gcloud ai-platform jobs submit
 training $JOB_NAME \
 --package-path $TRAINER_PACKAGE_PATH \
 --module-name $MAIN_TRAINER_MODULE \
 --job-dir $JOB_DIR \
 --region $REGION \
 --scale-tier basic \
 -- \
 --epochs 20 \
 --batch_size=32 \
 --learning_rate=0.001 \
 You want to ensure that training time is minimized without significantly compromising the accuracy of your model. What should you do?",Modify the 'epochs' parameter.,Modify the 'scale-tier' parameter.,Modify the 'batch size' parameter.,Modify the 'learning rate' parameter.,,B,"Verified with legacy-product note: B. Changing from the BASIC scale tier to a more capable training configuration can add accelerators or distributed resources and reduce wall-clock training time without directly changing the optimization objective. Changing epochs, batch size, or learning rate can affect convergence and accuracy. AI Platform scale tiers are legacy terminology; current Agent Platform custom training uses explicit worker-pool machine and accelerator specifications.",https://docs.cloud.google.com/gemini-enterprise-agent-platform/machine-learning/training/overview,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Scaling prototypes into ML models,Choosing appropriate hardware for training,Training Hardware; Distributed Training; Agents; Custom Training,Medium,Original Bank,Updated 2026,TRUE
PMLE-0021,single_choice,"You have deployed multiple versions of an image classification model on AI Platform. You want to monitor the performance of the model versions
 over time. How should you perform this comparison?",Compare the loss performance for each model on a held-out dataset.,Compare the loss performance for each model on the validation data.,Compare the receiver operating characteristic (ROC) curve for each model using the What-If Tool.,Compare the mean average precision across the models using the Continuous Evaluation feature.,,D,"Verified against Google Cloud model-evaluation guidance. Comparing versions should use a consistent task-appropriate evaluation metric on comparable evaluation data. Among the choices, Continuous Evaluation with mean average precision is the intended managed comparison. Note: the legacy AI Platform Continuous Evaluation terminology is outdated; current Vertex AI documentation generally refers to model evaluation and monitoring.",https://cloud.google.com/vertex-ai/docs/evaluation/introduction,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Computer Vision; Evaluation Metrics; Classification; Model Monitoring,Medium,Original Bank,Needs Review,TRUE
PMLE-0022,single_choice,"You trained a text classification model. You have the following SignatureDefs:
 You started a TensorFlow-serving component server and tried to send an HTTP request to get a prediction using: headers = {""content-type"":
 ""application/json""} json_response = requests.post('http: //localhost:8501/v1/models/text_model:predict', data=data, headers=headers)
 What is the correct way to write the predict request?","data = json.dumps({‫ג‬€signature_name‫ ג‬:€‫ג‬€seving_default‫ ג‬,€‫ג‬€instances‫ג‬€ [['ab', 'bc', 'cd']]})","data = json.dumps({‫ג‬€signature_name‫ ג‬:€‫ג‬€serving_default‫ ג‬,€‫ג‬€instances‫ג‬€ [['a', 'b', 'c', 'd', 'e', 'f']]})","data = json.dumps({‫ג‬€signature_name‫ ג‬:€‫ג‬€serving_default‫ ג‬,€‫ג‬€instances‫ג‬€ [['a', 'b', 'c'], ['d', 'e', 'f']]})","data = json.dumps({‫ג‬€signature_name‫ ג‬:€‫ג‬€serving_default‫ ג‬,€‫ג‬€instances‫ג‬€ [['a', 'b'], ['c', 'd'], ['e', 'f']]})",,D,"Verified with an ambiguity note. TensorFlow Serving predict requests use a JSON object containing ""signature_name"" and ""instances"", and each element of ""instances"" must match one example in the model input signature. The missing SignatureDef details in this CSV make the exact shape impossible to prove independently; the community answer D is consistent with the referenced input shape of (-1, 2), meaning a batch of three examples with two values each.",https://www.tensorflow.org/tfx/serving/api_rest,TRUE,,,Serving and scaling models,Serving models,Custom Training; Classification; NLP; Online Inference,Medium,Original Bank,Verified,FALSE
PMLE-0023,single_choice,"Your organization's call center has asked you to develop a model that analyzes customer sentiments in each call. The call center receives over one
 million calls daily, and data is stored in Cloud Storage. The data collected must not leave the region in which the call originated, and no Personally
 Identifiable Information (PII) can be stored or analyzed. The data science team has a third-party tool for visualization and access which requires a
 SQL ANSI-2011 compliant interface. You need to select components for data processing and for analytics. How should the data pipeline be
 designed?","1= Dataflow, 2= BigQuery","1 = Pub/Sub, 2= Datastore","1 = Dataflow, 2 = Cloud SQL","1 = Cloud Function, 2= Cloud SQL",,A,"Dataflow is the scalable managed processing option, and BigQuery provides an ANSI SQL analytics interface and regional dataset controls. PII should be removed or de-identified during processing before data is written for analytics. None of the options explicitly includes Sensitive Data Protection, so A is the best available answer but the question is incomplete from a privacy-design perspective.",https://cloud.google.com/sensitive-data-protection/docs/deidentify-sensitive-data,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML; Identifying risks to AI solutions,Dataflow; BigQuery; Data Privacy; Speech-to-Text,Hard,Original Bank,Verified,FALSE
PMLE-0024,single_choice,"You are an ML engineer at a global shoe store. You manage the ML models for the company's website. You are asked to build a model that will
 recommend new products to the user based on their purchase behavior and similarity with other users. What should you do?",Build a classification model,Build a knowledge-based filtering model,Build a collaborative-based filtering model,Build a regression model using the features as predictors,,C,Collaborative filtering is designed to recommend items by learning similarities among users and items from interaction history such as purchases. That directly matches recommending products based on a user's behavior and similarity to other users.,https://developers.google.com/machine-learning/recommendation/collaborative/basics,TRUE,,,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability",Recommendation Systems; Vector Search; Classification; Regression,Easy,Original Bank,Verified,FALSE
PMLE-0025,single_choice,"You work for a social media company. You need to detect whether posted images contain cars. Each training example is a member of exactly one
 class. You have trained an object detection neural network and deployed the model version to AI Platform Prediction for evaluation. Before
 deployment, you created an evaluation job and attached it to the AI Platform Prediction model version. You notice that the precision is lower than
 your business requirements allow. How should you adjust the model's final layer softmax threshold to increase precision?",Increase the recall.,Decrease the recall.,Increase the number of false positives.,Decrease the number of false negatives.,,B,"To increase precision, raise the classification threshold. This usually reduces false positives but increases false negatives, so recall decreases. Therefore B is the matching consequence.",https://developers.google.com/machine-learning/crash-course/classification/accuracy-precision-recall,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; Classification; Computer Vision; Model Monitoring,Easy,Original Bank,Verified,FALSE
PMLE-0026,single_choice,"You are responsible for building a unified analytics environment across a variety of on-premises data marts. Your company is experiencing data
 quality and security challenges when integrating data across the servers, caused by the use of a wide range of disconnected tools and temporary
 solutions. You need a fully managed, cloud-native data integration service that will lower the total cost of work and reduce repetitive work. Some
 members on your team prefer a codeless interface for building Extract, Transform, Load (ETL) process. Which service should you use?",Dataflow,Dataprep,Apache Flink,Cloud Data Fusion,,D,"Cloud Data Fusion is Google Cloud's fully managed, cloud-native, code-free data integration service. Its visual interface, reusable connectors, and transformations are specifically intended to reduce repetitive ETL work and total pipeline ownership cost across siloed systems.",https://cloud.google.com/data-fusion,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Data Preparation; AI Security; Dataflow; Pipelines,Easy,Original Bank,Verified,FALSE
PMLE-0027,single_choice,"You are an ML engineer at a regulated insurance company. You are asked to develop an insurance approval model that accepts or rejects
 insurance applications from potential customers. What factors should you consider before building the model?","Redaction, reproducibility, and explainability","Traceability, reproducibility, and explainability","Federated learning, reproducibility, and explainability","Differential privacy, federated learning, and explainability",,B,"For a regulated decision system, you need traceability for accountability and auditability, reproducibility so decisions and model versions can be recreated, and explainability so approval or rejection outcomes can be understood. Redaction and privacy techniques may also be required, but B is the only option containing the three core governance properties.",https://cloud.google.com/architecture/framework/perspectives/ai-ml/reliability,TRUE,,,Monitoring AI solutions,"Identifying risks to AI solutions; Building models given the task considering cost, complexity, latency, and scalability",Responsible AI; Explainability; Data Privacy; ML Metadata,Medium,Original Bank,Verified,FALSE
